,ibm_id,service_name,service_instance,platform_viewer,platform_operator,platform_editor,platform_admin,service_reader,service_writer,service_manager,resourceType,region,resource
0,iam-ServiceId-c826e01a-fb17-43a3-bfc7-61ef34027582,conversation,3287494b-ad69-421b-a124-c318ac1a3e1b,0,0,0,0,0,0,1,,,
1,IBMid-270006DJ74,conversation,,1,0,0,0,0,0,0,,,
2,IBMid-550003Y0N2,conversation,,1,0,0,0,0,0,0,,,
3,IBMid-270006DJ74,conversation,e7b8b3ba-13be-49d7-9115-13c1c7aa2e85,0,0,0,0,0,0,1,skill,,e4c37adb-a5a0-4bc7-ab8a-6905347448ad
4,IBMid-270006DJ74,conversation,e7b8b3ba-13be-49d7-9115-13c1c7aa2e85,1,0,0,0,0,0,0,assistant,,040a5071-2711-4d9d-addd-febb8b4e4e75
5,iam-ServiceId-99037bba-8b35-4e06-b6a8-46354d0fe343,conversation,0ba67f49-cbd2-49d2-98b3-62ce1fc614c7,0,0,0,0,0,0,1,,,
6,iam-ServiceId-5b829942-8e5f-4257-9046-9eaed527ce6b,conversation,3287494b-ad69-421b-a124-c318ac1a3e1b,0,0,0,0,0,0,1,,,
7,iam-ServiceId-e1f29f42-6d2e-4257-a547-e3dbb5211014,conversation,a3611032-f930-42e0-a3d1-a5bc9c4e5ee3,0,0,0,0,0,0,1,,,
8,IBMid-550003Y0N2,conversation,Watson Assistant-Plus,1,0,1,1,1,1,1,assistant,us-south,b719e46f-7a96-488b-ba32-f49f8520858d
9,iam-ServiceId-0a69caf5-8c8e-4209-843c-28c14379cd07,conversation,e7b8b3ba-13be-49d7-9115-13c1c7aa2e85,0,0,0,0,0,0,1,,,
